,title,author,song_information,chords
0,Baby chords,Baby – Justin Bieber,"[Intro]
  
     Ohh wooaah, Ohh wooaah, Ohh wooaah, Ohh wooaah
  
  
 [Verse]
               You know you love me,I know you care
                You shout whenever, And I'll be there
              You want my love, You want my heart
              And we will never ever ever be apart
  
            Are we an item? Girl quit playing
       We're just friends, What are you saying?
                Said there's another, Look right in my eyes
           My first love broke my heart for the first time,
  
 And I was like
  
  
 [Chorus]
 Baby, baby, baby nooo
           I'm like baby, baby, baby noo
           I'm like baby, baby, baby nooo
    I thought you'd always be mine mine
  
 Baby, baby, baby nooo
           I'm like baby, baby, baby noo
           I'm like baby, baby, baby nooo
    I thought you'd always be mine, oh oh
  
  
 [Verse]
      For you, I would have done whatever
             And I just can't believe we're here together
              And I gotta play it cool, 'cause I'm loosin' you
               I'll buy you anything, I'll buy you any ring
               'Cause I'm in pieces, baby fix me
          And you shake me 'til you wake﻿ me from this bad dream
      I'm going down, down, dooown
             And I just can't believe my first love won't be around,
  
 And I'm like
  
  
 [Chorus]
 Baby, baby, baby nooo
           I'm like baby, baby, baby noo
           I'm like baby, baby, baby nooo
    I thought you'd always be mine mine
 Baby, baby, baby nooo
           I'm like baby, baby, baby noo
           I'm like baby, baby, baby nooo
    I thought you'd always be mine, mine
  
  
 [Verse]
       You can give all of your love,
                            But sometimes it won't be enough
                               Never told me this day would come,
              Now I'm all gone
                        You can give all your love,
                            But sometimes it won't be enough
                               Never told me this day would come
  
 'Cause I was like
  
  
 [Chorus]
 Baby, baby, baby nooo
           I'm like baby, baby, baby noo
           I'm like baby, baby, baby nooo
    I thought you'd always be mine mine
  
  
 [Outro]
 Yeah yeah yeah, yeah yeah yeah
 Yeah yeah yeah, yeah yeah yeah
 Yeah yeah yeah
              Now I'm all gone, gone, gone, gone
      I'm goooooooone
","['C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C', 'Am', 'F', 'G', 'C']"
0,Tears In Heaven chords,Tears In Heaven – Eric Clapton,"[Intro]
  
 [Chorus]
   Would you know my name,
 If I saw you in heaven,
    Would it be the same,
   If I saw you in heaven,
  
 [Verse]
 I must be strong,
 and carry on,
           Cause I know I don't belong,
             Here in heaven.
  
 [Link]
  
 [Chorus]
 Would you hold my hand
 If I saw you in heaven
 Would you help me stand
 If I saw you in heaven
  
 [Verse]
 I'll find my way,
 through night and day
          Cause I know I just can't stay
             Here in heaven
  
 [Link]
  
 [Bridge]
 Time can bring you down
            Time can bend your knee
 Time can break your heart
           Have you begging please
   Begging please
  
 [Instrumental]
  
 [Verse]
 Beyond the door
 There's peace I'm sure.
        And I know there'll be no more...
           Tears in heaven
  
 [Link]
  
 [Chorus]
   Would you know my name,
 If I saw you in heaven,
    Would it be the same,
   If I saw you in heaven,
  
 [Verse]
 I must be strong,
 and carry on,
          Cause I know I don't belong,
          Here in heaven.
  
 [Outro]
","['A', 'E/G#', 'F#m', 'A/E', 'D/F#', 'E7sus4', 'E7', 'A', 'A', 'E', 'F#m', 'A/E', 'D/F#', 'A/E', 'E', 'A', 'E', 'F#m', 'A/E', 'D/F#', 'A/E', 'E', 'F#m', 'C#/E#', 'A7/E', 'F#7', 'Bm7', 'Bm7/E', 'A', 'A', 'E/G#', 'F#m', 'A/E', 'D/F#', 'E7sus', 'E7', 'A', 'A', 'E', 'F#m', 'A/E', 'D/F#', 'A/E', 'E', 'A', 'E', 'F#m', 'A/E', 'D/F#', 'A/E', 'E', 'F#m', 'C#/E#', 'A7/E', 'F#7', 'Bm7', 'Bm7/E', 'A', 'A', 'E/G#', 'F#m', 'A/E', 'D/F#', 'E7sus4', 'E7', 'A', 'C', 'G/B', 'Am', 'D/F#', 'G', 'D/F#', 'Em', 'D/F#', 'G', 'C', 'G/B', 'Am', 'D/F#', 'G', 'D/F#', 'E', 'A', 'E/G#', 'F#m', 'A/E', 'D/F#', 'A/E', 'E7', 'F#m', 'C#/E#', 'A7/E', 'F#7', 'Bm7', 'Bm7/E', 'A', 'A', 'E/G#', 'F#m', 'A/E', 'D/F#', 'E7sus4', 'E7', 'A', 'A', 'E', 'F#m', 'A/E', 'D/F#', 'A/E', 'E', 'A', 'E', 'F#m', 'A/E', 'D/F#', 'A', 'E', 'F#m', 'C#/E#', 'A7/E', 'F#7', 'Bm7', 'Bm7/E', 'A', 'A', 'E/G#', 'F#m', 'A/E', 'Bm7', 'Bm7/E', 'A']"
0,Pompeii chords,Pompeii – Bastille,"For the Intro & Outro patterns, begin with a strum ahead of the beat on the & of 4.
  
  
 [Intro]
  
  
 [Verse 1]
 I was left to my own de-v-i-c-e-s
   Many days fell away with nothing to show
  
  
 [Pre-Chorus]
           And the walls kept tumbling down
                     In the city that we l-o-v-e-d
          Great clouds roll over the hills
                         Bringing darkness from a-b-o-v-e
  
  
 [Chorus]
 N.C.                    But if you close your eyes,
           Does it almost feel like
   Nothing changed at all?
                         And if you close your eyes,
           Does it almost feel like
   You've been here before?
       How am I gonna be an optimist about this?
       How am I gonna be an optimist about this?
  
  
 [Verse 2]
 We were caught up and lost in all of our vices
 In your pose as the dust settles around us
  
  
 [Pre-Chorus]
           And the walls kept tumbling down
                     In the city that we l-o-v-e-d
          Great clouds roll over the hills
                         Bringing darkness from a-b-o-v-e
  
  
 [Chorus]
 N.C.                    But if you close your eyes,
           Does it almost feel like
   Nothing changed at all?
                         And if you close your eyes,
           Does it almost feel like
   You've been here before?
       How am I gonna be an optimist about this?
       How am I gonna be an optimist about this?
  
  
 [Instrumental]
  
  
 [Bridge]
 Oh where do we begin?
       The rubble or our sins?
 Oh where do we begin?
       The rubble or our sins?
  
  
 [Pre-Chorus]
           And the walls kept tumbling down
                     In the city that we l-o-v-e-d
          Great clouds roll over the hills
                         Bringing darkness from a-b-o-v-e
  
  
 [Chorus]
 N.C.                    But if you close your eyes,
           Does it almost feel like
   Nothing changed at all?
                         And if you close your eyes,
           Does it almost feel like
   You've been here before?
       How am I gonna be an optimist about this?
       How am I gonna be an optimist about this?
                         But if you close your eyes,
           Does it almost feel like
 Nothing changed at all?
  
  
 [Outro]
","['C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'Em', 'D', 'C', 'G', 'Em', 'D']"
0,Need You Now chords,Need You Now – Lady A (Lady Antebellum),"To understand even more.. watch this tutorial
  https://www.youtube.com/watch?v=WQliobGE9Hg
  
 [Intro]
  
 [Verse 1]
 Picture perfect memories scattered all around the floor
 Reaching for the phone 'cause I can't fight it anymore
        And I wonder if I ever cross your mind
            For me it happens all the time
  
 [Chorus]
         It's a quarter after one, I'm all alone and I need you now
 Said I wouldn't come, but I lost all control and I need you now
         And I don't know how I can do without, I just need you now
  
 [Verse 2]
   Another shot of whiskey, can't stop looking at the door
 Wishing you'd come sweeping in the way you did before
        And I wonder if I ever cross your mind
            For me it happens all the time
  
 [Chorus]
         It's a quarter after one, I'm a little drunk and I need you now
 Said I wouldn't come, but I lost all control and I need you now
         And I don't know how I can do without, I just need you now
  
 [Bridge]
           Yes I'd rather hurt than feel nothing at all
  
 [Chorus]
         It's a quarter after one, I'm all alone and I need you now
        And I said I wouldn't call, but I'm a little drunk and I need you now
         And I don't know how I can do without, I just need you now
  
 [Outro]
  I just need you now
  Oh baby I need you now
","['F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'F', 'C', 'Em', 'C', 'Em', 'F', 'F', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'F', 'C', 'Em', 'C', 'Em', 'F', 'F', 'Am', 'G/B', 'C', 'F', 'Gsus', 'F', 'Am', 'G', 'C', 'Em', 'C', 'Em', 'F', 'F', 'C', 'Em', 'C', 'Em', 'C', 'Em', 'C', 'Em', 'C']"
0,Lost Stars chords,Lost Stars – Adam Levine,"[Intro]
  
 [Verse]
 Please don't see
 Just a boy caught up in dreams and fantasies
 Please see me
 Reaching out for someone I can't see
 Take my hand, let's see where we wake up tomorrow
              Best laid plans sometimes are just a one night stand
           I'll be damned, cupid's demanding back his arrow
 So let's get drunk on our tears and
  
 [Chorus]
 God, tell us the reason
                          Youth is wasted on the young
               It's hunting season
                           And the lambs are on the run
                 Searching for meaning
             But are we all lost stars
            Trying to light up the dark?
  
 [Verse]
 Who are we?
 Just a speck of dust within the galaxy
 Woe is me
 If we're not careful, turns into reality
 Don't you dare, let our best memories bring you sorrow
              Yesterday, I saw a lion kiss a deer
           Turn the page, maybe we'll find a brand new ending
 Where we're dancing on our tears
  
 [Chorus]
 God, tell us the reason
                          Youth is wasted on the young
               It's hunting season
                           And the lambs are on the run
                 Searching for meaning
             But are we all lost stars
            Trying to light up the dark?
  
 [Bridge]
 I thought I saw you out there crying
 I thought I heard you call my name
 I thought I heard you out there crying
 Just the same, yeahhhhhhhhh
  
 [Chorus]
 God, tell us the reason
                          Youth is wasted on the young
               It's hunting season
                           And this lamb is on the run
                 Searching for meaning
             But are we all lost stars
            Trying to light up the dark?
  
 [Bridge/Chorus]
 I thought I saw you out there crying
 I thought I heard you call my name
 I thought I heard you out there crying
             But are we all lost stars
            Trying to light up the dark?
             But are we all lost stars
            Trying to light up the dark?
","['Fmaj7', 'Fmaj7', 'Fmaj7', 'Fmaj7', 'Fmaj7', 'Fmaj7', 'Em', 'Fmaj7', 'Em', 'Fmaj7', 'Em', 'Fmaj7', 'G', 'G', 'Fmaj7', 'C', 'Fmaj7', 'C', 'Fmaj7', 'Em', 'D', 'D', 'Dm', 'G', 'Fmaj7', 'Fmaj7', 'Fmaj7', 'Fmaj7', 'Fmaj7', 'Em', 'Fmaj7', 'Em', 'Fmaj7', 'Em', 'Fmaj7', 'G', 'G', 'Fmaj7', 'C', 'Fmaj7', 'C', 'Fmaj7', 'Em', 'D', 'D', 'Dm', 'G', 'Fmaj7', 'C', 'Fmaj7', 'C', 'Fmaj7', 'C', 'G', 'Fmaj7', 'Fmaj7', 'C', 'Fmaj7', 'C', 'Fmaj7', 'Em', 'D', 'D', 'Dm', 'G', 'Fmaj7', 'C', 'Fmaj7', 'C', 'Fmaj7', 'Em', 'D', 'D', 'Dm', 'G', 'D', 'D', 'Dm', 'G', 'C']"
0,Im Yours chords,Im Yours – Jason Mraz,"[Verse]
  
            Well, you done done me and you bet I felt it
     I tried to be chill but you're so hot that i melted
     I fell right through the cracks, and i'm tryin' to get back
              Before the cool done run out i'll be givin' it my bestest
        And nothin's gonna stop me but divine intervention
      I reckon it's again my turn to win some or learn some but
  
  
 [Chorus]
  
 I won't hesitate no more,
      No more, it cannot wait i'm yours
  
  
 [Verse]
  
        Well open up your mind and see like me
                                      Open up your plans and damn you're free
                                        Look into your heart and you'll find love love love
 Listen to the music of the moment people, dance and sing
                        We're just one big family
                                      It's your god forsaken right to be loved loved loved loved loved
  
  
 [Chorus]
  
      So, i won't hesitate no more,
      No more, it cannot wait i'm sure
              There's no need to complicate our time is short
               This is our fate, i'm yours
  
  
 [Verse]
  
 (scat)
  
             I've been spendin' way too long checkin' my tongue in the mirror
       And bendin' over backwards just to try to see it clearer
      My breath fogged up the glass
            And so I drew a new face and laughed
      I guess what I'm a sayin'is there ain't no better reason
      To rid yourself of vanity and just go with the seasons
        It's what we aim to do
        Our name is our virtue
  
  
 [Chorus]
  
 I won't hesitate no more, no more
             It cannot wait, i'm sure
               (There's no need to complicate
               Our time is short
             It cannot wait, i'm yours 2x 
       No please don't complicate, our time is short
               This is our fate, im yours.
       No please don't hesitate no more, no more
             It cannot wait, the sky is yours!) 
  
  
 [Verse]
  
        Well open up your mind and see like me
                                      Open up your plans and damn you're free
                                        Look into your heart and you'll find love love love
 Listen to the music of the moment come and dance with me 
                        Ah, la one big family 
                                      It's your god forsaken right to be loved, loved, loved, loved 
  
        Open up your mind and see like me 
                                      Open up your plans and damn you're free 
                                        Look into your heart and you'll find love love love love 
 Listen to the music of the moment come and dance with me 
                        Ah, la happy family 
                                      It's our god forsaken right to be loved loved loved loved 
 Listen to the music of the moment come and dance with me 
                        Ah, la peaceful melodies 
                                      It's you god forsaken right to be loved loved loved loved...
","['B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'C#9/F', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'C#9/F', 'B', 'F#', 'G#m', 'E', 'B', 'F#', 'G#m', 'E', 'C#9/F', 'B', 'F#', 'G#m', 'E', 'C#9/F']"
0,Dont Stop Believin chords,Dont Stop Believin – Journey,"[Intro]
     e|-------------------------------------------|
 B|-------------------------------------------|
 G|-------------------------------------------|
 D|-------------------------------------------|
 A|-------------2-----4-6-4----6-7-0---6-7----|
 E|--0------2-4----------------------------0--|
  
     e|---------------------------------|
 B|---------------------------------|
 G|---------------------------------|
 D|---------------------------------|
 A|-------------2-----4-6--------0--|
 E|--0------2-4------------4---4----|
  
 [Verse 1]
 Just a small town girl, living in a lonely world
 She took the midnight train going anywhere
 Just a city boy, born and raised in south Detroit
 He took the midnight train going anywhere
  
 A singer in a smoky room, a smell of wine and cheap perfume
 For a smile they can share the night, it goes on and on and on and on
  
 [Chorus]
 Strangers waiting up and down the boulevard
   Their shadows searching in the night
 Streetlight, people, living just to find emotion
 Hiding, somewhere in the night
  
 [Verse 2]
 Working hard to get my fill, everybody wants a thrill
         Paying anything to roll the dice, just one more time
 Some will win, some will lose, some were born to sing the blues
   Oh, the movie never ends; it goes on and on and on and on
  
 [Chorus]
 Strangers waiting up and down the boulevard
   Their shadows searching in the night
 Streetlight, people, living just to find emotion
 Hiding, somewhere in the night
  
 [Outro]
 Don't stop believing hold on to the feeling
 Streetlight people
 Don't stop believing hold on to the feeling
 Streetlight people
 Don't stop believing hold on to the feeling
 Streetlight people
","['E', 'B', 'C#m', 'A', 'E', 'B', 'G#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'G#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'G#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'G#m', 'A', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'B', 'E', 'B', 'E', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'G#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'G#m', 'A', 'A', 'E', 'A', 'E', 'A', 'E', 'A', 'B', 'E', 'B', 'E', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'G#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'G#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'G#m', 'A']"
0,The Lazy Song chords,The Lazy Song – Bruno Mars,"Song Title: The Lazy Song
 Artist: Bruno Mars
 Album: Doo-Wops and Hooligans
  
 Tab:
 B: 799877
 F#: x9111111x (eleven)
 E: x7999x
 D#: x68886
 D#m: x68876
 C#m: x46654
 G#m: 466444
  
  
 [Chorus]
  
 Today I don't feel like doing anything
 I just wanna lay in my bed
 Don't feel like picking up my phone
 So leave a message at the tone
 Cause today I swear I'm not doing anything
  
  
 [Verse 1]
  
      Uh, I'm gonna kick my feet up and stare at the fan
 Turn the TV on, Throw my hand in my pants
 Nobody's gonna tell me I can't, nah
  
 I'll be lying on the couch just chillin in my snuggie
 Click to MTV so they can teach me how to dougie
 Cause in my castle I'm the freakin man
  
  
 [Pre-chorus]
  
         Oh Oh, yes I said it
 I said it
 I said it cause I can
  
  
 [Chorus]
  
 Today I don't feel like doing anything
 I just wanna lay in my bed
 Don't feel like picking up my phone
 So leave a message at the tone
 Cause today I swear I'm not doing anything
  
 Nothing at all
 Ooh hoo ooh hoo
 Hoo ooh ooh, Nothing at all
 Ooh hoo ooh hoo
 Hoo ooh ooh
  
  
 [Verse 2]
  
 Tomorrow I wake up, do some P90X
 With a really nice girl have some really nice sex
 And she's gonna scream out, ""this is great"" (Oh my god this is great)
 I might mess around and get my college degree
 I bet my old man will be so proud of me
 I'm sorry pops you just have to wait
  
  
 [Pre-chorus]
  
         Oh Oh, yes I said it
 I said it
 I said it cause I can
  
  
 [Chorus]
  
 Today I don't feel like doing anything
 I just wanna lay in my bed
 Don't feel like picking up my phone
 So leave a message at the tone
 Cause today I swear I'm not doing anything
  
  
 [Bridge]
  
       No I ain't gonna comb my hair
          Cause I ain't going anywhere
 No no no no no no no no nooo
            I'll just strut in my birthday suit
      And let everything hang loose
 Yeah yeah yeah yeah yeah yeah yeah yeah yeahhh
  
  
 [Chorus]
  
      Ohh,Today I don't feel like doing anything
 I just wanna lay in my bed
 Don't feel like picking up my phone
 So leave a message at the tone
 Cause today I swear I'm not doing anything
  
 Nothing at all
 Ooh hoo ooh hoo
 Hoo ooh ooh, Nothing at all
 Ooh hoo ooh hoo
 Hoo ooh ooh
             Nothing at all
","['B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'D#', 'E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'C#m', 'D#m', 'E', 'F#', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'D#', 'E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'D#', 'E', 'C#m', 'D#m', 'E', 'F#', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'D#', 'E', 'C#m', 'F#', 'G#m', 'C#m', 'F#', 'G#m', 'C#m', 'F#', 'G#m', 'C#m', 'F#', 'G#m', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'D#', 'E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B']"
0,Wicked Game chords,Wicked Game – Chris Isaak,"[Intro]
  
 [Verse 1]
 The world was on fire and no one could save me but you.
 It's strange what desire will make foolish people do.
 I never dreamed that I'd meet somebody like you.
 I never dreamed that I'd lose somebody like you.
  
 [Chorus]
      No, I don't want to fall in love. (This world is only gonna break your heart)
      No, I don't want to fall in love. (This world is only gonna break your heart)
 With you.         With you.       (This world is only gonna break your heart)
  
 [Verse 2]
 What a wicked game to play, to make me feel this way.
 What a wicked thing to do, to let me dream of you.
 What a wicked thing to say, you never felt this way.
 What a wicked thing to do, to make me dream of you. 
  
 [Chorus]
       And, I don't want to fall in love. (This world is only gonna break your heart)
      No, I don't want to fall in love. (This world is only gonna break your heart)
 With you.
  
 [Verse 3]
 The world was on fire and no one could save me but you.
 It's strange what desire will make foolish people do.
 I never dreamed that I'd love somebody like you.
 I never dreamed that I'd lose somebody like you, no
  
 [Chorus]
 No, I want to fall in love. (This world is only gonna break your heart)
 No, I want to fall in love. (This world is only gonna break your heart)
 With you.         With you. (This world is only gonna break your heart)
 Nobody loves no one.
","['Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E']"
0,All Of Me chords,All Of Me – John Legend,"John Legend
 All of Me
  
 [Intro]
  
 [Verse]
 What would I do without your smart mouth
              Drawing me in, and you kicking me out
            Got my head spinning, no kidding, I can't pin you down
               What's going on in that beautiful mind
                 I'm on your magical mystery ride
           And I'm so dizzy, don't know what hit me, but I'll be alright
  
 [Pre-chorus]
      My heads under water
      But I'm breathing fine
                   You're crazy and I'm out of my mind
  
 [Chorus]
         Cause all of me
         Loves all of you
              Love your curves and all your edges
           All your perfect imperfections
             Give your all to me
               I'll give my all to you
            You're my end and my beginning
       Even when I lose I'm winning
                    Cause I give you all, all of me
                   And you give me all, all of you, oh
  
 [Verse]
 How many times do I have to tell you
                    Even when you're crying you're beautiful too
                The world is beating you down, I'm around through every mood
               You're my downfall, you're my muse
               My worst distraction, my rhythm and blues
                  I can't stop singing, it's ringing, in my head for you
  
 [Pre-chorus]
 My heads under water
      But I'm breathing fine
                   You're crazy and I'm out of my mind
  
 [Chorus]
         Cause all of me
         Loves all of you
              Love your curves and all your edges
            All your perfect imperfections
             Give your all to me
               I'll give my all to you
            You're my end and my beginning
       Even when I lose I'm winning
                    Cause I give you all, all of me
                   And you give me all, all of you, oh
  
 [Bridge]
                 Give me all of you, oh
               Cards on the table
          We're both showing hearts
 Risking it all, though it's hard
  
 [Chorus]
         Cause all of me
         Loves all of you
              Love your curves and all your edges
           All your perfect imperfections
             Give your all to me
               I'll give my all to you
            You're my end and my beginning
       Even when I lose I'm winning
                    Cause I give you all, all of me
                   And you give me all, all of you
                   Cause I give you all, all of me
                   And you give me all, all of you, oh
","['Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Am', 'Am', 'G', 'D', 'Am', 'G', 'D', 'G', 'Em', 'Am', 'C/D', 'D', 'G', 'Em', 'Am', 'C/D', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Am', 'Am', 'G', 'D', 'Am', 'G', 'D', 'G', 'Em', 'Am', 'C/D', 'D', 'G', 'Em', 'Am', 'C/D', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Am', 'G', 'D', 'Am', 'Am', 'G', 'D', 'G', 'Em', 'Am', 'C/D', 'D', 'G', 'Em', 'Am', 'C/D', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D']"
