chord,x,y,z,color
C9sus4,-43.720333,8.430372,-4.4017572,-15.143659
C9sus4/G,-7.65843,11.7988615,-13.750683,-10.621801
CM7,23.135256,0.11604628,-9.766944,10.246796
CM7/B,-22.166895,-12.78471,-12.377841,-11.677009
CMaj7,-20.84912,-9.47333,18.71667,-11.4432335
Cadd#11,19.956594,-5.386413,1.5463185,7.5203886
Cadd2,13.154698,-19.844604,-10.501087,8.763548
Cadd2/E,-31.263777,0.93444014,19.313326,-13.807117
Cadd4,13.605569,8.0303335,1.7226702,7.2566156
Cadd9,13.381641,-19.470884,-16.640617,8.429366
Cadd9/E,6.0113955,-9.110323,0.8885722,6.948712
Cadd9/F#,-30.920492,-10.609267,7.1520743,-14.970492
Cadd9/G,8.878936,-22.824553,12.26418,4.6416116
Caug,17.797924,-2.3602073,5.4762073,7.1381893
Caug/E,18.749495,1.016597,5.6733637,7.116187
Cb,-28.564226,-1.9759932,10.683601,-12.200478
Cb/Gb,-9.498739,-1.8111123,-13.857038,-11.776566
Cb7,-7.7354326,-0.47013506,-20.955591,-11.374458
Cbmaj7,32.28799,1.1011723,8.883654,14.029428
Cdim,3.407669,5.647449,-1.916089,1.040147
Cdim/Gb,15.927608,-13.571498,-7.670044,8.799573
Cdim7,1.9076886,14.699382,-7.8649974,0.90206444
Cm,29.04708,5.204897,11.784392,16.030502
Cm(maj7),-28.66863,-4.919984,-11.8858795,-14.650105
Cm/A,0.5531301,11.434976,-29.235249,-3.9044006
Cm/A#,-38.58774,-13.369855,-5.7800965,-15.338247
Cm/Ab,-28.491882,9.225723,13.087121,-12.962148
Cm/B,25.260668,12.070405,2.741172,13.569812
Cm/Bb,28.052538,14.886007,-1.4440031,13.200446
Cm/D,-23.31285,24.013746,-6.1920867,-13.227329
Cm/D#,-26.592688,-2.6871343,22.506687,-13.95215
Cm/Eb,8.592725,-1.0931875,-4.111965,6.760983
Cm/F,-28.210491,10.479784,-20.558268,-16.51821
Cm/F#,-10.464959,7.7495813,-8.251264,-12.659196
Cm/G,-37.116707,6.225235,3.3707025,-14.215365
Cm6,37.21798,-1.022262,7.806761,13.854461
Cm6/D,-38.717686,6.2912335,12.120615,-14.294106
Cm6/Eb,-24.182892,-20.392492,-4.532317,-13.519079
Cm7,45.873413,2.1840775,10.166928,15.0140705
Cm7-5,-16.790104,17.36962,-1.5934494,-10.0138645
Cm7/A#,-23.006174,-10.076399,0.09152028,-10.903235
Cm7/Bb,-35.241936,2.0781498,1.9470015,-14.277952
Cm7/D#,13.501038,-1.1116598,8.299203,6.509226
Cm7/Eb,-16.087854,-5.3982882,-2.000912,-12.476893
