chord,x,y,color
Cmmaj7,-31.51663,-3.4276707,-12.832155
Csus,27.644905,1.0148705,11.944533
Csus2,24.015041,-11.764823,10.01531
Csus2/A,-23.36682,7.430431,-11.0590315
Csus2/B,23.556028,-3.6115654,9.686129
Csus2/Bb,-40.989697,8.297707,-10.865094
Csus2/F#,-39.62241,-1.3783771,-14.804695
Csus4,14.620714,4.8596025,6.5646267
D,11.536957,-12.288815,4.837211
D#,-0.8350029,-4.2610006,-0.0129527785
D#(b5),-30.314547,-6.1777954,-12.422962
D#/G,-41.00049,-9.794866,-17.015781
D#5,0.7265514,-3.130876,0.55580723
D#5/A#,-28.720179,-0.2416316,-12.362916
D#7,0.79134744,-0.4829152,0.42139485
D#7/A#,-38.180386,-4.309276,-13.9121065
D#7/G#,-29.67796,0.6532164,-12.359816
D#9,2.7376149,2.2183592,1.1634179
D#M7,5.0584664,0.7202576,1.465734
D#aug,-30.135588,-6.344983,-12.572681
D#dim,5.720064,-7.539467,2.8060207
D#dim7,23.358803,7.2798285,10.54926
D#m,-3.0907044,-3.0123055,-0.065221995
D#m/A#,-0.7973947,-2.3989277,0.257294
D#m/D,9.855572,0.35495684,5.992432
D#m7,-6.6841164,-5.551069,-1.3144414
D#m7-5,-7.0011797,-5.9542227,-1.4345337
D#m7/G#,-39.061832,-3.0432186,-12.633027
D#m7b5,-1.5687306,0.9890223,0.70160156
D#maj7,-31.152056,10.444897,-10.691453
D#sus,0.21743068,-2.5528734,0.6255113
D(4),-20.440586,-0.18034257,-11.439546
D(5),-25.523954,6.122091,-11.021479
D(7),-32.049316,10.493756,-11.793123
D(sus4),-36.986942,-10.605206,-16.744543
D+,-27.841629,10.39096,-10.091945
D+5,13.434141,9.325217,4.864453
D/A,11.322372,-7.373435,5.5354514
D/B,15.578868,-16.412224,7.5688667
D/Bb,-27.487328,0.21750927,-12.312115
D/C,15.564329,-16.422918,7.557268
D/C#,13.75753,-11.977703,4.9482284
